//Complete Material and Composite List
//Save this TAB as MaterialData.csv
TABLE MaterialData
CodeCat,MatList,Thkns,Rvalue,ThrmlCndct,Dens,SpecHt,ExtRoughness,// For Reference
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 1/2 in.,0.50,0.68,0.0608,50.00,0.31,Smooth,AEC
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 5/8 in.,0.63,0.86,0.0608,50.00,0.31,Smooth,AEC
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 3/4 in.,0.75,1.03,0.0608,50.00,0.31,Smooth,AEC
Bldg Board and Siding,HB Part. Brd - 3/4 in.,0.75,0.64,0.09833,50.00,0.31,Smooth,CEC Doug
Bldg Board and Siding,Metal Deck - 1/16 in.,0.0625,0.00,26.2,488.22,0.12,Smooth,AEC
Bldg Board and Siding,Metal Siding - 1/16 in.,0.0625,0.00,26.2,488.22,0.12,Smooth,AEC
Bldg Board and Siding,OSB - Oriented Strand Board - 1/2 in.,0.50,0.80,0.0517,41.00,0.45,MediumSmooth,AEC
Bldg Board and Siding,OSB - Oriented Strand Board - 5/8 in.,0.63,0.82,0.0633,41.00,0.45,MediumSmooth,AEC
Bldg Board and Siding,OSB - Oriented Strand Board - 3/4 in.,0.75,0.83,0.0758,41.00,0.45,MediumSmooth,AEC
Bldg Board and Siding,Plywood - 1/4 in.,0.25,0.31,0.0667,30.00,0.45,MediumSmooth,CEC Doug
Bldg Board and Siding,Plywood - 3/8 in.,0.38,0.47,0.0667,30.00,0.45,MediumSmooth,CEC Doug
Bldg Board and Siding,Plywood - 1/2 in.,0.50,0.63,0.0667,30.00,0.45,MediumSmooth,CEC Doug
Bldg Board and Siding,Plywood - 5/8 in.,0.63,0.78,0.0667,30.00,0.45,MediumSmooth,CEC Doug
Bldg Board and Siding,Plywood - 3/4 in.,0.75,0.94,0.0667,30.00,0.45,MediumSmooth,CEC Doug
Bldg Board and Siding,Plywood - 1 in.,1.00,1.25,0.0667,30.00,0.45,MediumSmooth,CEC Doug
Bldg Board and Siding,Plywood - 1 1/4 in.,1.25,1.56,0.0667,30.00,0.45,MediumSmooth,CEC RJ
Bldg Board and Siding,Plywood - 1 1/2 in.,1.50,1.88,0.0667,30.00,0.45,MediumSmooth,CEC RJ
Bldg Board and Siding,Shingles - Asbestos cement - lapped - 1/4 in.,0.25,0.21,0.0992,120.00,0.24,VeryRough,AEC
Bldg Board and Siding,Shingles - Asphalt roll siding - 1/4 in.,0.25,0.15,0.1392,70.00,0.36,VeryRough,AEC
Bldg Board and Siding,Shingles - Wood - 16 in. - 7 1/2 in. exposure - 1/2 in.,0.50,0.87,0.0475,22.00,0.31,MediumRough,AEC
Bldg Board and Siding,Shingles - Wood - plus insulated backer board Siding - 5/16 in.,0.31,1.40,0.0183,22.00,0.31,MediumRough,AEC
Bldg Board and Siding,Wood shingles - 3/4 in.,0.75,0.90,0.0692,36.94,0.31,VeryRough,AEC
Bldg Board and Siding,Wood shingles - plain and plastic film faced - 3/4 in.,0.75,0.94,0.0667,22.00,0.31,VeryRough,AEC
Bldg Board and Siding,Siding - Asphalt insulating siding - 1/2 in. bed - 1/2 in.,0.50,1.46,0.0283,70.00,0.35,VeryRough,AEC
Bldg Board and Siding,Siding - Wood - bevel - 10 in. - lapped - 3/4 in.,0.75,1.05,0.0592,22.00,0.28,Rough,AEC
Bldg Board and Siding,Synthetic Stucco - EIFS finish - 1 in.,1.00,4.00,0.0208,1.50,0.35,Smooth,AEC
Building Membrane,Building Paper - 1/16 in.,0.06,0.03,0.1667,70.00,0.30,MediumSmooth,CEC Doug
Building Membrane,Roofing felt - 1/8 in.,0.13,0.02,0.6917,141.00,0.30,VeryRough,AEC
Building Membrane,Vapor permeable felt - 1/8 in.,0.13,0.06,0.1733,22.00,0.30,Rough,AEC
Building Membrane,Vapor seal - 2 layers of mopped 15 lb felt - 1/4 in.,0.25,0.12,0.1733,22.00,0.30,Rough,AEC
Building Membrane,Vapor seal - plastic film - 1/16 in.,0.63,0.01,5.2083,30.00,0.30,Rough,AEC
Concrete,Concrete - 80 lb/ft3 - 2 in.,2.00,0.54,0.3067,79.87,0.20,MediumRough,AEC
Concrete,Concrete - 80 lb/ft3 - 4 in.,4.00,1.09,0.3067,79.87,0.20,MediumRough,AEC
Concrete,Concrete - 80 lb/ft3 - 6 in.,6.00,1.63,0.3067,79.87,0.20,MediumRough,AEC
Concrete,Concrete - 80 lb/ft3 - 8 in.,8.00,2.17,0.3067,79.87,0.20,MediumRough,AEC
Concrete,Concrete - 80 lb/ft3 - 10 in.,10.00,2.72,0.3067,79.87,0.20,MediumRough,AEC
Concrete,Concrete - 80 lb/ft3 - 12 in.,12.00,3.26,0.3067,79.87,0.20,MediumRough,"AEC, CEC RJ"
Concrete,Concrete - 100 lb/ft3 - 2 in.,2.00,0.32,0.5208,100.00,0.21,MediumRough,"AEC, CEC RJ"
Concrete,Concrete - 100 lb/ft3 - 4 in.,4.00,0.64,0.5208,100.00,0.21,MediumRough,"AEC, CEC RJ"
Concrete,Concrete - 100 lb/ft3 - 6 in.,6.00,0.97,0.5208,100.00,0.21,MediumRough,"AEC, CEC RJ"
Concrete,Concrete - 100 lb/ft3 - 8 in.,8.00,1.29,0.5208,100.00,0.21,MediumRough,"AEC, CEC RJ"
Concrete,Concrete - 100 lb/ft3 - 10 in.,10.00,1.61,0.5208,100.00,0.21,MediumRough,"AEC, CEC RJ"
Concrete,Concrete - 100 lb/ft3 - 12 in.,12.00,1.93,0.5208,100.00,0.21,MediumRough,"AEC, CEC RJ"
Concrete,Concrete - 140 lb/ft3 - 2 in.,2.00,0.15,1.1275,139.78,0.22,MediumRough,AEC
Concrete,Concrete - 140 lb/ft3 - 4 in.,4.00,0.30,1.1275,139.78,0.22,MediumRough,AEC
Concrete,Concrete - 140 lb/ft3 - 6 in.,6.00,0.44,1.1275,139.78,0.22,MediumRough,AEC
Concrete,Concrete - 140 lb/ft3 - 8 in.,8.00,0.59,1.1275,139.78,0.22,MediumRough,AEC
Concrete,Concrete - 140 lb/ft3 - 10 in.,10.00,0.74,1.1275,139.78,0.22,MediumRough,AEC
Concrete,Concrete - 140 lb/ft3 - 12 in.,12.00,0.89,1.1275,139.78,0.22,MediumRough,"AEC, CEC RJ"
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 1 1/2 in.,13.5,0.851,1.3217,133.44,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 2 in.,14,0.949,1.2292,128.71,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 3 in.,15,1.251,0.9992,120.2,0.12,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 4 in.,16,1.548,0.8617,112.75,0.12,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 6 in.,18,2.153,0.6967,100.33,0.13,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 1 1/2 in.,13.5,0.851,1.3217,133.44,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 2 in.,14,0.556,2.0983,128.71,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 3 in.,15,0.476,2.6258,120.2,0.12,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 4 in.,16,0.417,3.1975,112.75,0.12,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 6 in.,18,0.333,4.5042,100.33,0.13,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 1 1/2 in.,13.5,1.251,0.8992,133.44,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 2 in.,14,1.449,0.805,128.71,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 3 in.,15,2.049,0.61,120.2,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 4 in.,16,2.647,0.5033,112.75,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 6 in.,18,3.758,0.3992,100.33,0.12,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 1 1/2 in.,13.5,1.15,0.9783,133.44,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 2 in.,14,1.449,0.805,128.71,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 3 in.,15,1.951,0.6408,120.2,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 4 in.,16,2.45,0.5442,112.75,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 6 in.,18,3.555,0.4217,100.33,0.12,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 1 1/2 in.,13.5,7.347,0.1533,133.44,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 2 in.,14.00,9.68,0.1208,128.71,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 3 in.,15,14.302,0.0875,120.2,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 4 in.,16,18.83,0.0708,112.75,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 6 in.,18,28.562,0.0525,100.33,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 1 1/2 in.,13.5,5.248,0.2142,133.44,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 2 in.,14,6.963,0.1675,128.71,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 3 in.,15,10.139,0.1233,120.2,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 4 in.,16,13.436,0.0992,112.75,0.11,MediumRough,JA4-10
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 6 in.,18,19.983,0.075,100.33,0.11,MediumRough,JA4-10
Finish Materials,Acoustic Tile - 3/8 in.,0.38,0.95,0.0325,18.00,0.19,MediumSmooth,AEC
Finish Materials,Acoustic Tile - 1/2 in.,0.50,1.26,0.0333,18.00,0.19,MediumSmooth,AEC
Finish Materials,Acoustic Tile - 3/4 in.,0.75,1.89,0.0333,18.00,0.19,MediumSmooth,AEC
Finish Materials,Carpet - 3/4 in.,0.75,2.38,0.0263,18.00,0.33,Rough,CEC Doug
Finish Materials,Linoleum/cork tile - 1/4 in.,0.25,0.49,0.0425,29.00,0.45,MediumRough,AEC
Finish Materials,Rubber tile - 1 in.,1.00,2.94,0.0283,119.00,0.48,MediumSmooth,AEC
Finish Materials,Slate or tile - 1/2 in.,0.50,0.05,0.9192,119.81,0.30,VeryRough,AEC
Finish Materials,Terrazzo - 1 in.,1.00,0.08,1.0417,160.00,0.19,Rough,AEC
ICF Wall,Insulating Concrete Forms - 1 1/2 in. Polyurethane Ins. each side - concrete 6 in.,9,19.13,0.0392,100.33,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 1 1/2 in. Polyurethane Ins. each side - concrete 8 in.,11,19.318,0.0475,109.36,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 2 in. Polyurethane Ins. each side - concrete 6 in.,10,22.72,0.0367,90.4,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 2 in. Polyurethane Ins. each side - concrete 8 in.,12,23.09,0.0433,100.33,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 4 1/2 in. Polyurethane Ins. each side - concrete 6 in.,15,42.81,0.0292,60.6,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 4 1/2 in. Polyurethane Ins. each side - concrete 8 in.,17,42.54,0.0333,71.12,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 2 in. EPS Ins. each side - concrete 6 in.,10,16.4,0.0508,90.4,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 2 in. EPS Ins. each side - concrete 8 in.,12,16.67,0.06,100.33,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 2 1/2 in. EPS Ins. each side - concrete 6 in.,11,21.3,0.04304,76.81,0.23,Smooth,CEC RJ
ICF Wall,Insulating Concrete Forms - 2 1/2 in. EPS Ins. each side - concrete 8 in.,13,21.45,0.05051,86.54,0.22,Smooth,CEC RJ
ICF Wall,Insulating Concrete Forms - 3 in. EPS Ins. each side - concrete 6 in.,12,23.98,0.0417,75.5,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 3 in. EPS Ins. each side - concrete 8 in.,14,24.551,0.0475,86.14,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 4 in. EPS Ins. each side - concrete 6 in.,14,32.59,0.0358,64.86,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 4 in. EPS Ins. each side - concrete 8 in.,16,31.97,0.0417,75.5,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 2 in. XPS Ins. each side - concrete 6 in.,10,21.26,0.0392,90.4,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 2 in. XPS Ins. each side - concrete 8 in.,12,21.05,0.0475,100.33,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 3 in. XPS Ins. each side - concrete 6 in.,12,30.77,0.0325,75.5,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 3 in. XPS Ins. each side - concrete 8 in.,14,31.11,0.0375,86.14,0.22,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 4 in. XPS Ins. each side - concrete 6 in.,14,39.95,0.0292,64.86,0.23,Smooth,JA4-10
ICF Wall,Insulating Concrete Forms - 4 in. XPS Ins. each side - concrete 8 in.,16,41.03,0.0325,75.5,0.22,Smooth,JA4-10
Insulation Batt,Glass fiber batt - 3 1/2 in. R11 (CEC Default),3.5,11.00,0.0265,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 3 1/2 in. R13 (CEC Default),3.5,13.00,0.0224,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 3 1/2 in. R15 (CEC Default),3.5,15.00,0.0194,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 5 1/2 in. R19 (CEC Default),5.5,18.00,0.0255,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 5 1/2 in. R21 (CEC Default),5.5,21.00,0.0218,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 7 1/4 in. R25 (CEC Default),7.25,24.00,0.0252,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 7 1/4 in. R30 (CEC Default),7.25,25.00,0.0242,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 8 1/4 in. R30C (CEC Default),8.25,30.00,0.0229,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 10 in. R30 (CEC Default),10,30.00,0.0278,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 12 in. R38 (CEC Default),12,38.00,0.0263,0.70,0.20,MediumRough,CEC RJ
Insulation Batt,Glass fiber batt - 4 in.,4.00,13.33,0.025,0.70,0.20,MediumRough,AEC
Insulation Batt,Glass fiber batt - 4 1/2 in.,4.50,15.00,0.025,0.70,0.20,MediumRough,AEC
Insulation Batt,Glass fiber batt - 5 in.,5.00,16.67,0.025,0.70,0.20,MediumRough,AEC
Insulation Batt,Glass fiber batt - 6 in.,6.00,20.00,0.025,0.70,0.20,MediumRough,AEC
Insulation Batt,Glass fiber batt - 6 1/2 in.,6.50,21.67,0.025,0.70,0.20,MediumRough,AEC
Insulation Board,Cellular polyisocyanurate (unfaced) - 1/8 in. R0.7,0.13,0.73,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 1/4 in. R1.5,0.25,1.47,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 1/2 in. R2.9,0.50,2.93,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 1 in. R5.9,1.00,5.87,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 1 1/2 in. R8.8,1.50,8.80,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 2 in. R12,2.00,11.74,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 2 1/2 in. R15,2.50,14.67,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 3 in. R18,3.00,17.60,0.0142,1.50,0.38,Rough,"AEC, CEC RJ"
Insulation Board,Cellular polyisocyanurate (unfaced) - 3 1/2 in. R21,3.50,20.54,0.0142,1.50,0.38,Rough,AEC
Insulation Board,Cellular polyisocyanurate (unfaced) - 4 in. R23,4.00,23.47,0.0142,1.50,0.38,Rough,AEC
Insulation Board,Cellular polyisocyanurate (unfaced) - 4 1/2 in. R26,4.50,26.41,0.0142,1.50,0.38,Rough,AEC
Insulation Board,Cellular polyisocyanurate (unfaced) - 5 in. R29,5.00,29.34,0.0142,1.50,0.38,Rough,AEC
Insulation Board,Cellular polyisocyanurate (unfaced) - 5 1/2 in. R32,5.50,32.28,0.0142,1.50,0.38,Rough,AEC
Insulation Board,Cellular polyisocyanurate (unfaced) - 6 in. R35,6.00,35.21,0.0142,1.50,0.38,Rough,AEC
Insulation Board,Cellular polyisocyanurate (unfaced) - 6 1/2 in. R38,6.50,38.15,0.0142,1.50,0.38,Rough,AEC
Insulation Board,Expanded perlite - organic bonded - 3/4 in. R2.1,0.75,2.08,0.03,1.00,0.30,MediumSmooth,AEC
Insulation Board,Expanded perlite - organic bonded - 1 in. R2.8,1.00,2.78,0.03,1.00,0.30,MediumSmooth,AEC
Insulation Board,Expanded perlite - organic bonded - 1 1/2 in. R4.2,1.50,4.17,0.03,1.00,0.30,MediumSmooth,AEC
Insulation Board,Expanded perlite - organic bonded - 2 in. R5.6,2.00,5.56,0.03,1.00,0.30,MediumSmooth,AEC
Insulation Board,Expanded perlite - organic bonded - 3 in. R8.3,3.00,8.33,0.03,1.00,0.30,MediumSmooth,AEC
Insulation Board,Expanded perlite - organic bonded - 4 in. R11,4.00,11.11,0.03,1.00,0.30,MediumSmooth,AEC
Insulation Board,Expanded perlite - organic bonded - 6 in. R17,6.00,16.67,0.03,1.00,0.30,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 1/4 in. R1.0,0.25,1.04,0.02,1.20,0.27,MediumSmooth,"AEC, CEC RJ"
Insulation Board,Expanded Polystyrene - EPS - 1/2 in. R2.1,0.50,2.08,0.02,1.20,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polystyrene - EPS - 3/4 in. R3.1,0.75,3.13,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 1 in. R4.2,1.00,4.17,0.02,1.20,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polystyrene - EPS - 1 1/4 in. R5.2,1.25,5.21,0.02,1.20,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polystyrene - EPS - 1 1/2 in. R6.3,1.50,6.25,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 1 3/4 in. R7.3,1.75,7.29,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 1 7/8 in. R8.0,1.92,8.00,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 1 15/16 in. R8.1,1.94,8.07,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 2 in. R8.3,2.00,8.33,0.02,1.20,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polystyrene - EPS - 2 2/5 in. R10,2.40,10.00,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 2 7/16 in. R10,2.43,10.13,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 3 in. R13,3.01,12.54,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 3 1/3 in. R14,3.35,13.96,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 3 2/5 in. R14,3.39,14.13,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 3 1/2 in. R15,3.50,14.58,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 4 1/16 in. R17,4.05,16.88,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 4 7/10 in. R20,4.71,19.63,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 5 2/5 in. R22,5.20,21.67,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 5 19/20 in. R25,5.96,24.83,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 6 1/10 in. R25,6.11,25.46,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 6 7/8 in. R29,6.87,28.63,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Expanded Polystyrene - EPS - 8 3/5 in. R35,8.38,34.92,0.02,1.20,0.27,MediumSmooth,AEC
Insulation Board,Extruded Polystyrene - XPS - 1/4 in. R1.25,0.25,1.25,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 1/2 in. R2.50,0.50,2.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 3/4 in. R3.75,0.75,3.75,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 1 in. R5.00,1.00,5.00,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 1 1/4 in. R6.25,1.25,6.25,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 1 1/2 in. R7.50,1.50,7.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
