,,"Corridors, Restrooms, Stairs, and Support Areas",0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,11
,,Dining Area,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,12
,,Dry Cleaning (Coin Operated),0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,13
,,Dry Cleaning (Full Service Commercial),0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,14
,,"Electrical, Mechanical, Telephone Rooms",0,1,0,0,0,0,0,0,0,na,0,0,0,1,na,;,15
,,Exercise Room,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,16
,,"Exhibit, Museum Areas",0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,17
,,Financial Transaction Area,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,18
,,"General Commercial and Industrial Work Areas, High Bay",0,1,0,0,0,0,0,0,0,na,0,0,0,1,na,;,19
,,"General Commercial and Industrial Work Areas, Low Bay",0,1,0,0,0,0,0,0,0,na,0,0,0,1,na,;,20
,,"General Commercial and Industrial Work Areas, Precision",0,0,0,1,0,0,0,0,0,na,0,0,0,1,na,;,21
,,Grocery Sales Areas,0,0,0,0,0,1,1,0,0,na,0,0,0,1,na,;,22
,,Gymnasium/Sports Arena,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,23
,,High-Rise Residential Living Spaces,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,24
,,Hotel Function Area,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,25
,,Hotel/Motel Guest Room,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,26
,,"Housing, Public and Common Areas: Multi-family, Dormitory",0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,27
,,"Housing, Public and Common Areas: Senior Housing",0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,28
,,"Kitchen, Commercial Food Preparation",0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,29
,,Kitchenette or Residential Kitchen,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,30
,,"Laboratory, Scientific",1,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,31
,,"Laboratory, Equipment Room",0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,32
,,Laundry,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,33
,,"Library, Reading Areas",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,34
,,"Library, Stacks",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,35
,,"Lobby, Hotel",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,36
,,"Lobby, Main Entry",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,37
,,Locker/Dressing Room,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,38
,,"Lounge, Recreation",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,39
,,Malls and Atria,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,40
,,Medical and Clinical Care,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,41
,,Nurseries for Children - Day Care,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,42
,,Office (Greater than 250 square feet in floor area),0,0,0,0,0,0,0,0,0,na,1,1,1,1,na,;,43
,,Office (250 square feet in floor area or less),0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,44
,,"Parking Garage Building, Parking Area",0,0,0,0,0,0,0,0,1,na,0,0,0,1,na,;,45
,,Parking Garage Area Dedicated Ramps,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,46
,,Parking Garage Area Daylight Adaptation Zones,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,47
,,Police Station and Fire Station,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,48
,,Religious Worship Area,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,49
,,"Retail Merchandise Sales, Wholesale Showroom",0,0,0,0,0,1,1,0,0,na,0,0,0,1,na,;,50
,,"Theater, Motion Picture",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,52
,,"Theater, Performance",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,53
,,Transportation Function,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,54
,,Unleased Tenant Area,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,55
,,Unoccupied-Exclude from Gross Floor Area,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,56
,,Unoccupied-Include in Gross Floor Area,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,57
,,Videoconferencing Studio,0,0,0,0,0,0,0,1,0,na,0,0,0,1,na,;,58
,,Waiting Area,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,59
,,All Others (including unleased tenant space in multi-tenant facilities),0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,60
,ENDTABLE,,,,,,,,,,,,,,,,,,
