,,100207,1,GHR,;,,,,,,,,
,,100208,1,ENSOPRO,;,,,,,,,,
,,100209,1,ENSOPRO PLUS,;,,,,,,,,
,,100301,1,SlabOnGrade,;,,,,,,,,
,,100302,1,Earth,;,,,,,,,,
,,100303,1,Crawl,;,,,,,,,,
,,100401,1,VertWallCavity,;,,,,,,,,
,,98015,1,Adobe,;,,,,,,,,
,,98016,1,Logs,;,,,,,,,,
,,98017,1,16 in. StrawBale,;,,,,,,,,
,,98018,1,SIPSskin,;,,,,,,,,
,,980312,1,12 in LW CMU Solid Grout,;,12,LW CMU Solid Grout,,,,LW CMU Solid Grout,,9803
,,980412,1,12 in MW CMU Solid Grout,;,12,MW CMU Solid Grout,,,,MW CMU Solid Grout,,9804
,,980512,1,12 in NW CMU Solid Grout,;,12,NW CMU Solid Grout,,,,NW CMU Solid Grout,,9805
,,981112,1,12 in LW CMU Empty,;,12,LW CMU Empty,,,,Clay Unit Solid Grout,,9806
,,981212,1,12 in MW CMU Empty,;,12,MW CMU Empty,,,,LW CMU Insulated,,9807
,,981312,1,12 in NW CMU Empty,;,12,NW CMU Empty,,,,MW CMU Insulated,,9808
,,980712,1,12 in LW CMU Insulated,;,12,LW CMU Insulated,,,,NW CMU Insulated,,9809
,,980812,1,12 in MW CMU Insulated,;,12,MW CMU Insulated,,,,Clay Unit Insulated,,9810
,,980912,1,12 in NW CMU Insulated,;,12,NW CMU Insulated,,,,LW CMU Empty,,9811
,,980310,1,10 in LW CMU Solid Grout,;,10,LW CMU Solid Grout,,,,MW CMU Empty,,9812
,,980410,1,10 in MW CMU Solid Grout,;,10,MW CMU Solid Grout,,,,NW CMU Empty,,9813
,,980510,1,10 in NW CMU Solid Grout,;,10,NW CMU Solid Grout,,,,Clay Unit Empty,,9814
,,981110,1,10 in LW CMU Empty,;,10,LW CMU Empty,,,,,,
,,981210,1,10 in MW CMU Empty,;,10,MW CMU Empty,,,,,,
,,981310,1,10 in NW CMU Empty,;,10,NW CMU Empty,,,,,,
,,980710,1,10 in LW CMU Insulated,;,10,LW CMU Insulated,,,,,,
,,980810,1,10 in MW CMU Insulated,;,10,MW CMU Insulated,,,,,,
,,980910,1,10 in NW CMU Insulated,;,10,NW CMU Insulated,,,,,,
,,980308,1,8 in LW CMU Solid Grout,;,8,LW CMU Solid Grout,,,,,,
,,980408,1,8 in MW CMU Solid Grout,;,8,MW CMU Solid Grout,,,,,,
,,980508,1,8 in NW CMU Solid Grout,;,8,NW CMU Solid Grout,,,,,,
,,980608,1,8 in Clay Unit Solid Grout,;,8,Clay Unit Solid Grout,,,,,,
,,981108,1,8 in LW CMU Empty,;,8,LW CMU Empty,,,,,,
,,981208,1,8 in MW CMU Empty,;,8,MW CMU Empty,,,,,,
,,981308,1,8 in NW CMU Empty,;,8,NW CMU Empty,,,,,,
,,981408,1,8 in Clay Unit Empty,;,8,Clay Unit Empty,,,,,,
,,980708,1,8 in LW CMU Insulated,;,8,LW CMU Insulated,,,,,,
,,980808,1,8 in MW CMU Insulated,;,8,MW CMU Insulated,,,,,,
,,980908,1,8 in NW CMU Insulated,;,8,NW CMU Insulated,,,,,,
,,981008,1,8 in Clay Unit Insulated,;,8,Clay Unit Insulated,,,,,,
,,980306,1,6 in LW CMU Solid Grout,;,6,LW CMU Solid Grout,,,,,,
,,980406,1,6 in MW CMU Solid Grout,;,6,MW CMU Solid Grout,,,,,,
,,980506,1,6 in NW CMU Solid Grout,;,6,NW CMU Solid Grout,,,,,,
,,980606,1,6 in Clay Unit Solid Grout,;,6,Clay Unit Solid Grout,,,,,,
,,981106,1,6 in LW CMU Empty,;,6,LW CMU Empty,,,,,,
,,981206,1,6 in MW CMU Empty,;,6,MW CMU Empty,,,,,,
,,981306,1,6 in NW CMU Empty,;,6,NW CMU Empty,,,,,,
,,981406,1,6 in Clay Unit Empty,;,6,Clay Unit Empty,,,,,,
,,980706,1,6 in LW CMU Insulated,;,6,LW CMU Insulated,,,,,,
,,980806,1,6 in MW CMU Insulated,;,6,MW CMU Insulated,,,,,,
,,980906,1,6 in NW CMU Insulated,;,6,NW CMU Insulated,,,,,,
,,981006,1,6 in Clay Unit Insulated,;,6,Clay Unit Insulated,,,,,,
,,*,0,no entry,;,,,,,,,,
,ENDTABLE,,,,,,,,,,,,
