,,2016,2017,FloorFurnace,56,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2016,2017,RoomHeater,57,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2016,2017,Boiler         ,80,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,;,Boiler - Gas or oil boiler                                        ,,
,,2016,2017,WoodHeat,Warning1,Warning2,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2016,2017,SplitHeatPump  ,Warning1,8.2,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2016,2017,SDHVSplitHeatPump,Warning1,7.2,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2016,2017,DuctlessMiniSplitHeatPump,Warning1,8.2,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2016,2017,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/22/16 - added
,,2016,2017,DuctlessVRFHeatPump,Warning1,7.7,Warning5,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2016,2017,PkgHeatPump    ,Warning1,8.0,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,
,,2016,2017,LrgPkgHeatPump ,Warning1,0,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2016,2017,RoomHeatPump   ,Warning1,7.4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2016,2017,Electric       ,Warning1,8.2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2016,2017,CombHydro      ,Warning1,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,Electric - All electric heating systems other than heat pump      ,,
,,2016,2017,ElecCombHydro,Warning1,Warning2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2016,2017,AirToWaterHeatPump,Warning1,Warning2,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2016,2017,GroundSourceHeatPump,Warning1,8.2,Warning3,1,-1,1,1,0,1,68,1,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
,,,Warning1,AFUE is not a supported performance characteristic for this system type,,,,,,,,,,,,,,,,,,,,
,,,Warning2,HSPF is not a supported performance characteristic for this system type,,,,,,,,,,,,,,,,,,,,
,,,Warning3,COP is not a supported performance characteristic for this system type,,,,,,,,,,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,,,
